City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
245,Klaksvik,FO,62.2266,-6.589,38.32,75,100,14.99,overcast clouds
246,Illapel,CL,-31.6308,-71.1653,79.74,45,1,9.06,clear sky
247,Longyearbyen,SJ,78.2186,15.6401,17.44,73,20,20.71,few clouds
248,Matara,LK,5.9485,80.5353,73.35,83,6,9.69,clear sky
249,Mugur-Aksy,RU,50.35,90.5,-9.11,87,68,5.3,broken clouds
250,Feijo,BR,-8.1642,-70.3536,87.26,64,72,2.17,light rain
251,Brenham,US,30.1669,-96.3977,71.02,100,100,4.61,mist
252,Kloulklubed,PW,7.0419,134.2556,80.04,79,100,20.27,overcast clouds
253,Prince Rupert,CA,54.3161,-130.3201,42.49,100,100,6.91,light rain
254,Portland,US,45.5234,-122.6762,43.9,93,100,1.01,mist
255,Ilulissat,GL,69.2167,-51.1,1.42,78,40,21.85,scattered clouds
256,High Level,CA,58.5169,-117.136,-25.49,75,40,3.44,scattered clouds
257,Pisco,PE,-13.7,-76.2167,77.05,57,0,8.05,clear sky
258,Kaniama,CD,-7.5667,24.1833,67.64,95,100,2.01,overcast clouds
259,Bambanglipuro,ID,-7.95,110.2833,61.61,87,92,5.93,overcast clouds
260,Yulara,AU,-25.2406,130.9889,66.04,72,100,8.05,overcast clouds
261,Corrente,BR,-3.7367,-43.3394,93.81,36,53,5.53,broken clouds
262,Srednekolymsk,RU,67.45,153.6833,-22.94,98,39,4.27,scattered clouds
263,Sur,OM,22.5667,59.5289,74.14,52,0,17.72,clear sky
264,Florianopolis,BR,-27.6146,-48.5012,87.26,83,20,11.5,few clouds
265,Bereda,ES,43.2686,-7.5406,53.35,90,57,0.69,broken clouds
266,Chumikan,RU,54.7183,135.315,-11.15,85,28,12.57,scattered clouds
267,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,93,0,3.44,clear sky
268,Avera,US,33.194,-82.5271,63.91,68,100,9.04,overcast clouds
269,Port Macquarie,AU,-31.4333,152.9167,71.49,94,100,10.36,overcast clouds
270,Makakilo City,US,21.3469,-158.0858,74.28,80,0,3.44,clear sky
271,Luangwa,ZM,-15.6167,30.4167,74.89,90,16,1.95,few clouds
272,Bukama,CD,-9.2,25.85,71.1,91,96,2.06,overcast clouds
273,Kismayo,SO,-0.3582,42.5454,79.56,85,98,13.31,overcast clouds
274,Kutum,SD,14.2,24.6667,69.69,19,13,3.31,few clouds
275,Edendale,ZA,-29.6528,30.3147,73.62,92,21,1.1,few clouds
276,Okhotsk,RU,59.3833,143.3,5.54,75,100,17.09,overcast clouds
277,Laguna,US,38.421,-121.4238,58.23,36,0,7,clear sky
278,Bhavani,IN,11.45,77.6833,74.97,54,5,4.36,clear sky
279,Taybad,IR,34.74,60.7756,43.56,48,0,4.41,clear sky
280,Praya,CV,14.9215,-23.5087,77.54,65,24,24.16,few clouds
281,Luce,FR,48.4369,1.4636,48.69,86,61,1.99,broken clouds
282,Madang,PG,-5.2246,145.7966,74.52,89,100,4.54,overcast clouds
283,Kupang,ID,-10.1667,123.5833,78.21,84,56,8.75,broken clouds
284,Qaanaaq,GL,77.484,-69.3632,-19.64,64,39,7.49,scattered clouds
285,Kuching,MY,1.55,110.3333,77.22,94,20,1.14,thunderstorm
286,Millville,US,39.4021,-75.0393,48.33,66,100,0,overcast clouds
287,Batticaloa,LK,7.7102,81.6924,76.42,71,14,5.73,few clouds
288,Muzhi,RU,65.3667,64.6667,-2.52,97,100,5.93,overcast clouds
289,Anchorage,US,61.2181,-149.9003,16.29,88,20,5.99,few clouds
290,Lompoc,US,34.6391,-120.4579,63.41,33,0,12.66,clear sky
291,Casma,CL,-41.0082,-73.1244,77.25,42,88,4.38,overcast clouds
292,Norsup,VU,-16.0667,167.3833,80.13,82,95,2.8,overcast clouds
293,Erzin,TR,36.9559,36.2,50.52,78,100,9.51,overcast clouds
294,Mundra,IN,22.85,69.7333,70.07,85,0,15.84,clear sky
295,Namibe,AO,-15.1961,12.1522,74.57,67,68,11.99,broken clouds
296,Tiznit,MA,29.5833,-9.5,70.84,26,59,1.74,broken clouds
297,Palmas,BR,-10.2128,-48.3603,82.27,78,40,8.05,scattered clouds
298,Kavaratti,IN,10.5669,72.642,80.4,70,6,11.45,clear sky
299,San Cristobal,VE,7.7669,-72.225,84.38,27,1,9.1,clear sky
300,Egvekinot,RU,66.3167,-179.1667,-8.5,80,12,19.1,few clouds
301,Marshall,US,34.3834,-86.3333,56.39,77,0,10,clear sky
302,Rugby,GB,52.3709,-1.2642,50.05,84,100,7.74,overcast clouds
303,Thunder Bay,CA,48.4001,-89.3168,5.56,52,0,14.97,clear sky
304,Sohag,EG,26.557,31.6948,61.39,31,68,6.49,broken clouds
305,Acapulco,MX,16.8634,-99.8901,84.02,65,75,5.75,broken clouds
306,Talara,PE,-4.5772,-81.2719,88.56,48,0,16.11,clear sky
307,Maracacume,BR,-2.0428,-45.9592,83.03,72,99,6.33,overcast clouds
308,Ichinohe,JP,40.2069,141.3017,24.3,84,92,8.61,overcast clouds
309,Mareeba,AU,-17,145.4333,75.43,96,100,3.36,overcast clouds
310,Mandera,KE,3.9366,41.867,88.97,29,96,14.14,overcast clouds
311,Shambu,ET,9.5667,37.1,58.55,47,92,2.66,overcast clouds
312,Komsomolskiy,UZ,40.4272,71.7189,36.32,64,100,2.3,haze
313,Gravdal,NO,68.1214,13.5031,26.49,59,20,11.5,few clouds
314,Palmer,US,42.1584,-72.3287,45.91,69,100,1.01,overcast clouds
315,Rawson,AR,-43.3002,-65.1023,81.84,28,96,13.02,overcast clouds
316,Ahipara,NZ,-35.1667,173.1667,66.96,92,100,10.58,overcast clouds
317,Quatre Cocos,MU,-20.2078,57.7625,80.1,93,100,33.4,heavy intensity rain
318,Nishihara,JP,26.1842,127.7558,69.08,94,75,0,mist
319,Seoul,KR,37.5683,126.9778,24.24,83,20,3.44,few clouds
320,Grand Gaube,MU,-20.0064,57.6608,80.38,81,100,21,light rain
321,Kindu,CD,-2.95,25.95,70.74,90,97,2.64,overcast clouds
322,Gawler,AU,-34.6,138.7333,59.9,87,0,3.47,clear sky
323,Havoysund,NO,70.9963,24.6622,23.23,82,40,11.63,scattered clouds
324,Corbelia,BR,-24.7989,-53.3067,87.15,42,36,7.96,scattered clouds
325,Pitimbu,BR,-7.4706,-34.8086,86.59,63,81,11.43,broken clouds
326,Korampallam,IN,8.7667,78.1,76.57,62,2,9.86,clear sky
327,Zlobin,HR,45.2924,14.6541,40.15,72,0,6.91,clear sky
328,Tres Arroyos,AR,-38.3739,-60.2798,95.2,19,95,15.37,overcast clouds
329,Zile,TR,40.3031,35.8864,36.72,90,99,3.51,overcast clouds
330,Loukhi,RU,66.0764,33.0381,12.18,96,100,6.44,overcast clouds
331,Agustin Codazzi,CO,10.0341,-73.2361,94.98,27,15,4.29,few clouds
332,Les Cayes,HT,18.2,-73.75,83.26,60,3,12.3,clear sky
333,Nogales,MX,31.3086,-110.9422,51.37,40,100,11.5,overcast clouds
334,Victoria,HK,22.2855,114.1577,58.24,93,100,5.99,overcast clouds
335,Guerrero Negro,MX,27.9769,-114.0611,61.66,58,98,11.7,overcast clouds
336,Moussoro,TD,13.6408,16.4901,70.43,11,21,9.35,few clouds
337,Verkhnevilyuysk,RU,63.4453,120.3167,-20.52,98,99,5.41,overcast clouds
338,Pella,RU,59.7775,30.8181,23.05,100,99,1.52,overcast clouds
339,Urucara,BR,-2.5364,-57.76,81.1,87,90,4.85,overcast clouds
340,Nuevo Casas Grandes,MX,30.4167,-107.9167,53.74,41,99,15.99,overcast clouds
341,Freeport,US,40.6576,-73.5832,46.76,82,100,3.44,overcast clouds
342,Comodoro Rivadavia,AR,-45.8667,-67.5,78.66,27,0,9.22,clear sky
343,Fortuna,US,40.5982,-124.1573,50.94,59,0,4,clear sky
